norad_id,nome,tipo_objeto,pais,tamanho_rcs,periodo_min,inclinacao,apogeu_km,perigeu_km,altitude_km,velocidade_kms,risco_colisao,eh_detrito,idade_anos,data_lancamento,data_decaimento,alerta_ativo
925,OPS 3062 DEB,DEBRIS,,,89.88,81.94,281,256,275.64,7.744,13.0,1,,,,1
926,OPS 3062 DEB,DEBRIS,,,88.66,82.09,208,208,215.36,7.779,13.0,1,,,,1
927,OPS 3062 DEB,DEBRIS,,,90.01,81.97,275,275,282.05,7.74,13.0,1,,,,1
930,OPS 3360 (ORBIS),PAYLOAD,,,88.93,70.03,276,167,228.72,7.772,9.0,0,,,,0
931,EXPLORER 24 (ADI-2),PAYLOAD,,,92.22,81.27,403,363,390.51,7.678,9.0,0,,,,0
932,EXPLORER 25 (INJUN-4),PAYLOAD,,MEDIUM,113.63,81.34,2262,525,1400.21,7.162,4.0,0,,,,0
933,SCOUT X-4 R/B,ROCKET BODY,,MEDIUM,112.28,81.33,2141,522,1338.54,7.19,4.0,0,,,,0
934,SCOUT X-4 DEB,DEBRIS,,MEDIUM,90.72,81.19,333,287,316.99,7.72,13.0,1,,,,1
935,SCOUT X-4 DEB,DEBRIS,,MEDIUM,89.52,81.28,268,233,257.88,7.754,13.0,1,,,,1
936,SCOUT X-4 DEB,DEBRIS,,,92.59,81.09,462,341,408.58,7.668,13.0,1,,,,1
937,SCOUT X-4 DEB,DEBRIS,,MEDIUM,90.31,81.24,313,267,296.82,7.732,13.0,1,,,,1
939,SCOUT X-4 DEB,DEBRIS,,,91.85,81.20,397,333,372.41,7.688,13.0,1,,,,1
940,SCOUT X-4 DEB,DEBRIS,,MEDIUM,91.16,81.26,348,315,338.6,7.708,13.0,1,,,,1
941,SCOUT X-4 DEB,DEBRIS,,MEDIUM,110.89,81.36,2020,516,1274.78,7.22,8.0,1,,,,0
943,SL-6 R/B,ROCKET BODY,,,88.29,64.76,236,144,197.02,7.79,9.0,0,,,,0
944,SL-6 PLAT,DEBRIS,,,88.38,64.71,211,178,201.48,7.788,13.0,1,,,,1
947,COSMOS 51,PAYLOAD,,,88.05,48.74,178,178,185.11,7.797,9.0,0,,,,0
948,SL-7 R/B,ROCKET BODY,,,88.56,48.76,210,197,210.4,7.782,9.0,0,,,,0
949,TITAN 3A TRANSTAGE R/B,ROCKET BODY,,,88.00,32.15,183,169,182.63,7.799,9.0,0,,,,0
950,SL-7 DEB,DEBRIS,,,90.97,48.75,397,247,329.27,7.713,13.0,1,,,,1
952,SL-7 DEB,DEBRIS,,,90.71,48.75,384,234,316.5,7.72,13.0,1,,,,1
953,THOR ABLESTAR R/B,ROCKET BODY,,LARGE,105.97,90.03,1065,1015,1046.92,7.33,1.5,0,,,,0
954,SL-7 DEB,DEBRIS,,,90.88,48.76,388,247,324.85,7.716,13.0,1,,,,1
955,SL-7 DEB,DEBRIS,,,91.11,48.75,407,251,336.14,7.709,13.0,1,,,,1
956,THOR ABLESTAR DEB,DEBRIS,,MEDIUM,105.30,89.93,1027,990,1015.62,7.346,5.5,1,,,,0
957,SAN MARCO 1,PAYLOAD,,,87.85,37.75,185,151,175.18,7.803,9.0,0,,,,0
958,SCOUT X-4 R/B,ROCKET BODY,,,90.29,37.76,390,187,295.84,7.732,9.0,0,,,,0
